gene_id	diff	count_min
b5v5_00004	-4	1210
b5v5_00005	-18	1122
b5v5_00008	3	1071
b5v5_00009	-8	981
b5v5_00001	-5	956
b5v5_00092	-10	918
b5v5_00012	-3	870
b5v5_00064	0	864
b5v5_00044	-10	854
b5v5_00003	1	841
b5v5_00016	3	832
b5v5_00017	49	828
b5v5_00118	-21	827
b5v5_00072	-9	808
b5v5_00021	-10	808
b5v5_00242	-18	804
b5v5_00036	15	606
b5v5_00040	66	730
b5v5_00532	-20	798
b5v5_00103	-6	789
b5v5_00027	2	788
b5v5_00093	-18	745
b5v5_00065	-6	524
b5v5_00042	-7	781
b5v5_00063	-13	761
b5v5_00097	16	777
b5v5_00061	-13	775
b5v5_00477	-6.5	773
b5v5_12417	2	770
b5v5_00019	14	425
b5v5_00086	-7	765
b5v5_00080	-3	764
b5v5_00057	-11	763
b5v5_00075	-14	762
b5v5_00098	-6	760
b5v5_00113	-4	757
b5v5_00134	-8	757
b5v5_00119	1	755
b5v5_00013	6	755
b5v5_00162	1	755
b5v5_00133	-8	755
b5v5_00179	-10	754
b5v5_00018	7	754
b5v5_00383	-11	754
b5v5_00463	-13	750
b5v5_00217	67.5	748
b5v5_00014	-13	746
b5v5_00154	-13	746
b5v5_00135	-9	746
b5v5_00185	-7	745
b5v5_00161	-16	745
b5v5_00654	-17	744
b5v5_00076	-14	624
b5v5_00091	-12	743
b5v5_00142	7	742
b5v5_00051	-9	741
b5v5_00503	-5	741
b5v5_00194	-14.5	740
b5v5_00007	134	639
b5v5_00084	-9	738
b5v5_00391	-6	737
b5v5_00459	-11	631
b5v5_00468	-22	718
b5v5_00037	-9	623
b5v5_00125	-2.5	735
b5v5_00054	-13	735
b5v5_00052	-16	735
b5v5_00204	-10	733
b5v5_01196	-12	733
b5v5_00252	48.5	732
b5v5_00107	-5	732
b5v5_00188	-8	732
b5v5_00058	-5	494
b5v5_00094	-8	732
b5v5_00062	3	731
b5v5_00106	-24	706
b5v5_00049	-10	729
b5v5_00117	-4	729
b5v5_00325	-8	729
b5v5_00023	26	728
b5v5_00280	-16	715
b5v5_00298	-15	727
b5v5_00561	-15	727
b5v5_00082	-13	721
b5v5_00111	1	726
b5v5_00126	-17	725
b5v5_00030	-12	723
b5v5_00085	-19	723
b5v5_00015	-1	721
b5v5_00393	-8	720
b5v5_00105	9	719
b5v5_00121	-13	719
b5v5_00183	17	719
b5v5_00116	-15	718
b5v5_00011	30.5	718
b5v5_00509	-11	717
b5v5_00146	-3	717
b5v5_00389	-16.5	716
b5v5_00250	3	715
b5v5_00077	-1	715
b5v5_01553	17	714
b5v5_00558	-9	714
b5v5_00104	3	713
b5v5_00128	-17	713
b5v5_00066	-8	713
b5v5_00087	-1	712
b5v5_00083	-10	712
b5v5_00038	-13	711
b5v5_00547	-16	711
b5v5_00540	-12	710
b5v5_00559	-14	710
b5v5_00095	0	710
b5v5_00060	-5	710
b5v5_00912	-18	709
b5v5_00053	-16	709
b5v5_00530	-9	709
b5v5_00182	-8	709
b5v5_00029	48	705
b5v5_00462	-8	705
b5v5_00207	-8	664
b5v5_00089	-14	704
b5v5_00300	-8	491
b5v5_00549	-7	703
b5v5_00825	-12	703
b5v5_00102	-27	588
b5v5_00050	-13	702
b5v5_00031	-9	702
b5v5_00032	-10	702
b5v5_00958	-14	702
b5v5_00147	-17	701
b5v5_00108	-13	701
b5v5_00478	-17	701
b5v5_00454	-11	701
b5v5_00741	-13	701
b5v5_00746	-16.5	700
b5v5_00640	-15	380
b5v5_00028	-14	699
b5v5_00196	21	699
b5v5_00571	-11	698
b5v5_00265	12	698
b5v5_00402	-16	698
b5v5_00493	-17	697
b5v5_00035	-10	697
b5v5_00413	-16	697
b5v5_00152	-10	697
b5v5_00120	-18	696
b5v5_00096	79	517
b5v5_01108	-6	696
b5v5_00220	-14	695
b5v5_00148	96	592
b5v5_00205	48	695
b5v5_00020	-6	695
b5v5_00357	-9	690
b5v5_00361	6	694
b5v5_00193	-5	693
b5v5_00555	-21	693
b5v5_00215	-14	693
b5v5_00269	-19	692
b5v5_00489	-9	692
b5v5_00989	-11	691
b5v5_00351	-13	691
b5v5_00430	-16	690
b5v5_00241	-10	690
b5v5_00996	-12	690
b5v5_02157	-13	600
b5v5_00156	-12	690
b5v5_00163	-12	690
b5v5_00838	-3	689
b5v5_00514	34	689
b5v5_00322	-5	689
b5v5_00153	-20	689
b5v5_00363	-13	689
b5v5_00727	-14	688
b5v5_00749	2	688
b5v5_00055	14	688
b5v5_00598	6.5	688
b5v5_01193	-13	687
b5v5_00208	-9	686
b5v5_02792	-16	686
b5v5_00272	-9	686
b5v5_00764	-11	686
b5v5_00918	-12	685
b5v5_00516	-13	684
b5v5_00255	-10	684
b5v5_00186	-3	684
b5v5_00074	-13	579
b5v5_00294	-13	683
b5v5_00304	-10	551
b5v5_00226	37	682
b5v5_00502	-14	681
b5v5_00139	-9	681
b5v5_00356	-17	681
b5v5_00257	9	680
b5v5_01168	-13	680
b5v5_00407	-14	680
b5v5_00169	3	495
b5v5_00251	-4	679
b5v5_00897	-15	679
b5v5_00999	-12	679
b5v5_00284	-11	678
b5v5_00567	-12	678
b5v5_00501	-16	678
b5v5_01133	-11	678
b5v5_00233	-8	678
b5v5_00068	-12	677
b5v5_00316	-8	545
b5v5_00386	-2	665
b5v5_00380	-1	354
b5v5_00002	25	677
b5v5_00209	-8	677
b5v5_00465	-13	677
b5v5_00237	-13	676
b5v5_00112	-12	567
b5v5_00659	42	676
b5v5_00101	15	676
b5v5_00306	10	676
b5v5_00167	-0.5	675
b5v5_00211	-11.5	675
b5v5_00348	-15	675
b5v5_00221	3	675
b5v5_00563	-12	675
b5v5_01663	13	674
b5v5_00695	-12	674
b5v5_00925	-6	674
b5v5_00201	-13	674
b5v5_00387	3	674
b5v5_00890	-16	673
b5v5_00754	5	673
b5v5_00195	-4	673
b5v5_00742	10.5	673
b5v5_01551	31	673
b5v5_00517	-8	673
b5v5_00290	-15	672
b5v5_01081	-3	672
b5v5_00189	-17	672
b5v5_00006	28	672
b5v5_00429	-9	672
b5v5_00656	-7	671
b5v5_00569	-12	671
b5v5_00297	10	671
b5v5_02099	-13	671
b5v5_00400	-10	670
b5v5_00256	1	670
b5v5_00043	-15	670
b5v5_07520	-11	669
b5v5_00554	-16	669
b5v5_00240	-10	669
b5v5_00864	-10	668
b5v5_00178	9	668
b5v5_00278	81	490
b5v5_00649	-12	668
b5v5_00145	-16	391
b5v5_00155	-14	667
b5v5_00625	-9	667
b5v5_00171	-8	667
b5v5_00456	-2	666
b5v5_00670	-17	627
b5v5_01103	-14	665
b5v5_01245	-8	665
b5v5_00285	-12	665
b5v5_00222	-13	665
b5v5_00811	-12	664
b5v5_01035	-10	663
b5v5_00409	-12	663
b5v5_00109	69	663
b5v5_01370	-3	529
b5v5_02936	-15	663
b5v5_00431	-12	663
b5v5_00200	1	663
b5v5_01164	-10	663
b5v5_00453	41	663
b5v5_01774	-5	662
b5v5_00646	-12	662
b5v5_00346	-10	662
b5v5_01912	-19	662
b5v5_01015	-15	662
