gene_id	diff_by_palseq	count_min
chr1-326	41	18
chr1-364	-36.5	36
chr1-113	-18	118
chr1-1157	6	20
chr1-1494	10	12
chr1-345	4	106
chr1-1651	13.5	14
chr1-404	65	39
chr1-272	4	61
chr1-980	-16.5	10
chr1-250	16	15
chr1-292	32	25
chr1-100	19	10
chr1-110	-19	30
chr1-30	-17	47
chr1-1235	41.5	15
chr1-1068	40.5	18
chr1-54	33.5	156
chr1-405	60	51
chr1-273	50	10
chr1-95	-13	22
chr1-105	22	13
chr1-1236	-137.5	10
chr1-572	23.5	20
chr1-676	23.5	14
chr1-285	13	82
chr1-495	30	57
chr1-43	-20	49
chr1-365	-5	18
chr1-1094	20.5	19
chr1-79	23	231
chr1-440	18	37
chr1-690	-94.5	27
chr1-399	84	10
chr1-129	9	247
chr1-204	41	82
chr1-336	-8	39
chr1-1373	71	15
chr1-210	-111.5	128
chr1-354	-4.5	21
chr1-520	47.5	21
chr1-275	-7	41
chr1-140	49	113
chr1-114	58	213
chr1-604	6	50
chr1-703	15.5	12
chr1-871	51	26
chr1-155	4.5	120
chr1-161	-46	27
chr1-34	-9	17
chr1-490	12	10
chr1-181	41	155
chr1-1020	-124	15
chr1-153	-15	35
chr1-295	0	15
chr1-587	-136.5	10
chr1-637	39	12
chr1-130	-3	14
chr1-96	-12	101
chr1-770	2	11
chr1-859	-8	14
chr1-533	-4	14
chr1-593	67.5	19
chr1-255	3	36
chr1-457	29	23
chr1-360	3	50
chr1-771	52	21
chr1-69	7	29
chr1-11	22	601
chr1-1377	3.5	12
chr1-610	-14	41
chr1-893	24	11
chr1-82	31	98
chr1-9	-25	100
chr1-20	-3	297
chr1-2	51	4618
chr1-25	92	290
chr1-1022	-89	13
chr1-1572	27	12
chr1-1660	-18	11
chr1-318	-17.5	20
chr1-84	-12.5	78
chr1-523	-150	10
chr1-220	37	139
chr1-1379	-52	11
chr1-573	-18	20
chr1-1380	-36	15
chr1-76	-6.5	168
chr1-606	40.5	55
chr1-543	-1	12
chr1-895	38	17
chr1-190	-63.5	185
chr1-1664	2	11
chr1-362	-12	24
chr1-22	9	399
chr1-503	11	13
chr1-830	7.5	16
chr1-322	91	50
chr1-774	97	15
chr1-831	-2	35
chr1-691	-50	11
chr1-984	9.5	12
chr1-312	26	55
chr1-413	7.5	84
chr1-474	-2	17
chr1-1437	8.5	12
chr1-124	-8.5	100
chr1-486	41	12
chr1-61	-43	24
chr1-436	8.5	66
chr1-132	-6.5	76
chr1-514	-15.5	14
chr1-985	69	27
chr1-48	2	20
chr1-59	-2	25
chr1-168	28.5	123
chr1-27	-22	95
chr1-678	62	21
chr1-16	29	68
chr1-5	17	107
chr1-169	-5.5	16
chr1-788	-17	11
chr1-244	29	71
chr1-67	6	23
chr1-10	-18	51
chr1-245	41	54
chr1-775	5	11
chr1-1098	-11.5	21
chr1-310	9	69
chr1-530	24	31
chr1-512	-12.5	45
chr1-71	-0.5	32
chr1-348	-30	50
chr1-97	-5	14
chr1-755	-9	40
chr1-267	-16	11
chr1-157	57	132
chr1-88	9	154
chr1-617	-29.5	38
chr1-1286	-49	17
chr1-256	8	16
chr1-121	18	31
chr1-424	35	53
chr1-433	-28.5	22
chr1-125	47	30
chr1-400	-25	18
chr1-19	-12	62
chr1-806	73	10
chr1-805	-30	21
chr1-574	-32.5	10
chr1-547	76	61
chr1-236	36	52
chr1-241	24	93
chr1-462	12	25
chr1-611	93	24
chr1-349	97	32
chr1-163	31	110
chr1-656	-79	42
chr1-355	42	55
chr1-988	19	27
chr1-116	-9.5	23
chr1-371	57.5	12
chr1-638	-115	26
chr1-444	83	29
chr1-303	47	51
chr1-205	60	111
chr1-1506	-28	13
chr1-55	47	213
chr1-66	16	11
chr1-7	6	85
chr1-401	59	46
chr1-596	-72.5	58
chr1-372	67.5	33
chr1-252	36.5	25
chr1-1042	-43.5	16
chr1-36	32	495
chr1-199	-8	12
chr1-390	10.5	33
chr1-951	-8	16
chr1-93	-12	20
chr1-188	-14.5	14
chr1-146	-7	31
chr1-921	-16.5	17
chr1-1209	-13.5	19
chr1-201	13	69
chr1-142	56	145
chr1-33	48	446
chr1-177	10	69
chr1-283	0	26
chr1-922	9	13
chr1-144	29.5	191
chr1-26	-22	163
chr1-122	-8	221
chr1-229	7.5	112
chr1-597	-35.5	11
chr1-196	-16	19
chr1-330	-12.5	22
chr1-40	-1	564
chr1-415	8	35
chr1-286	15	66
chr1-373	-58	30
chr1-561	-1	60
chr1-873	-22	28
chr1-269	65	45
chr1-331	68.5	70
chr1-1509	23	15
chr1-476	64.5	62
chr1-1210	153.5	14
chr1-316	43	45
chr1-1901	62	11
chr1-778	-13	27
chr1-608	-53	56
chr1-459	-26	57
chr1-72	31	380
chr1-128	9	151
chr1-1389	-171	15
chr1-706	-12.5	28
chr1-21	37	318
chr1-305	-1	120
chr1-178	0.5	97
chr1-1291	7	19
chr1-137	-10	21
chr1-575	-26	25
chr1-148	-20	18
chr1-464	21.5	42
chr1-1129	23	11
chr1-208	-6	31
chr1-563	92.5	16
chr1-835	63	16
chr1-669	59	16
chr1-366	6.5	82
chr1-651	-28.5	19
chr1-658	5	17
chr1-447	21	21
chr1-707	96	39
chr1-416	36	55
chr1-1686	58	13
chr1-1104	13	21
chr1-306	-40.5	24
chr1-517	-48	32
chr1-343	24	32
chr1-809	12	29
chr1-539	-1	14
chr1-179	-35.5	124
chr1-487	-28.5	10
chr1-247	-90.5	149
chr1-793	9.5	28
chr1-288	-16	77
chr1-794	-69	23
chr1-1172	-47	16
chr1-87	7	87
chr1-123	9	75
chr1-448	5	14
chr1-1048	101	24
chr1-1173	-13	13
chr1-1296	24	17
chr1-65	3	81
chr1-1297	90	10
chr1-820	-25.5	34
chr1-393	19	67
chr1-1175	-11.5	11
chr1-31	-10	382
chr1-534	56	27
chr1-670	45	22
chr1-795	18	16
chr1-279	-1	37
chr1-232	51	99
chr1-449	47.5	22
chr1-796	-87.5	38
chr1-417	38	34
chr1-186	-13	24
chr1-837	-25	13
chr1-1599	-32.5	12
chr1-1795	-21	10
chr1-24	49	571
chr1-73	72	71
chr1-117	0	212
chr1-518	-15.5	12
chr1-195	115	14
chr1-164	11	120
chr1-1107	23.5	22
chr1-929	17.5	10
chr1-383	-5	23
chr1-708	11	15
chr1-53	59	160
chr1-732	53	34
chr1-798	62	17
chr1-23	30	430
chr1-387	8	15
chr1-202	11.5	53
chr1-718	-122	49
chr1-253	-19.5	18
chr1-468	-5	13
chr1-265	22	45
chr1-280	-63.5	60
chr1-1300	45	17
chr1-906	8	18
chr1-601	29.5	68
chr1-406	21.5	34
chr1-839	17	11
chr1-307	30	56
chr1-577	9	13
chr1-394	22	13
chr1-992	17	27
chr1-855	125	13
chr1-367	101	17
chr1-488	48	13
chr1-368	24.5	94
chr1-176	7.5	109
chr1-57	-18	27
chr1-98	-2	23
chr1-822	35	26
chr1-351	37	105
chr1-29	56	331
chr1-1805	-6.5	10
chr1-475	63.5	30
chr1-159	5	10
chr1-115	-21.5	18
chr1-17	-24	972
chr1-697	29.5	24
chr1-762	20	30
chr1-734	54	27
chr1-535	-1	16
chr1-103	8	61
chr1-504	35	19
chr1-719	2	13
chr1-151	-16	123
chr1-91	-11	130
chr1-497	78	73
chr1-46	20	91
chr1-652	69	50
chr1-139	6.5	32
chr1-558	5	22
chr1-407	-39	12
chr1-783	-34.5	20
chr1-671	17.5	19
chr1-38	67	166
chr1-566	-24.5	16
chr1-1346	59	16
chr1-200	31	67
chr1-567	-6.5	46
chr1-37	-17	170
