transcript	ss_distance_to_3end
Chr1L-807__XBXL10_1g1525__upf1.L__XBmRNA2698__XM_018254615.2__last_exon	-2066
Chr1L-162__XBXL10_1g1562__atp5f1d.L__XBmRNA2769__NM_001093815.2__after_last_exon	-65
Chr1L-613__XBXL10_1g1564__stk11.L__XBmRNA2772__NM_001090289.1__last_exon	-324
Chr1L-786__XBXL10_1g1654__enc1.2.L__XBmRNA2933__NM_001086216.1__last_exon	-717
Chr1L-741__XBXL10_1g1684__safb.L__XBmRNA3012__XM_018255850.2__after_last_exon	-336
Chr1L-590__XBXL10_1g1684__safb.L__XBmRNA3012__XM_018255850.2__last_exon	-258
Chr1L-2528__XBXL10_1g1832__LOC108713395__XBmRNA3266__XM_018256592.2__last_exon	-164
Chr1L-769__XBXL10_1g1987__slc44a1.L__XBmRNA3539__NM_001091778.1__last_exon	-2297
Chr1L-217__XBXL10_1g2160__cdc14b.L__XBmRNA3978__XM_018259221.2__after_last_exon	-7265
Chr1L-382__XBXL10_1g2190__sptlc1.L__XBmRNA4044__NM_001091494.1__last_exon	-214
Chr1L-2123__XBXL10_1g2191__cdc42se2l.L__XBmRNA4048__XM_041564775.1__last_exon	-683
Chr1L-885__XBXL10_1g2579__tpst2.L__XBmRNA4512__NM_001094958.1__after_last_exon	-1344
Chr1L-2393__XBXL10_1g2579__tpst2.L__XBmRNA4512__NM_001094958.1__last_exon	-655
Chr1L-1062__XBXL10_1g2579__tpst2.L__XBmRNA4512__NM_001094958.1__last_exon	-470
Chr1L-2124__XBXL10_1g2579__tpst2.L__XBmRNA4512__NM_001094958.1__last_exon	-184
Chr1L-68__XBXL10_1g2593__pitpnb.2.L__XBmRNA4531__NM_001093495.1__last_exon	-1748
Chr1L-878__XBXL10_1g2622__msi1.L__XBmRNA4582__NM_001087833.1__last_exon	-1248
Chr1L-871__XBXL10_1g2717__mapk1.L__XBmRNA4776__NM_001087875.1__after_last_exon	-129
Chr1L-99__XBXL10_1g2717__mapk1.L__XBmRNA4776__NM_001087875.1__after_last_exon	-1029
Chr1L-2413__XBXL10_1g2737__arvcf.L__XBmRNA4816__NM_001088560.1__after_last_exon	-3696
Chr1L-907__XBXL10_1g2737__arvcf.L__XBmRNA4816__NM_001088560.1__after_last_exon	-1304
Chr1L-633__XBXL10_1g2737__arvcf.L__XBmRNA4816__NM_001088560.1__last_exon	-87
Chr1L-2209__XBXL10_1g2739__tango2.L__XBmRNA4818__NM_001090225.1__last_exon	-1027
Chr1L-2786__XBXL10_1g2739__tango2.L__XBmRNA4818__NM_001090225.1__last_exon	-1862
Chr1L-1587__XBXL10_1g2739__tango2.L__XBmRNA4818__NM_001090225.1__last_exon	-4616
Chr1L-1946__XBXL10_1g2758__ep400.L__XBmRNA4863__XM_041567169.1__after_last_exon	-3152
Chr1L-1129__XBXL10_1g2864__acad10.L__XBmRNA5110__XM_018263439.2__after_last_exon	-1506
Chr1L-2415__XBXL10_1g2864__acad10.L__XBmRNA5110__XM_018263439.2__after_last_exon	-1411
Chr1L-608__XBXL10_1g2971__ythdc2.L__XBmRNA5317__XM_018264331.2__last_exon	-2791
Chr1L-2038__XBXL10_1g2971__ythdc2.L__XBmRNA5317__XM_018264331.2__last_exon	-773
Chr1L-1285__XBXL10_1g3035__cox7c.L__XBmRNA5485__NM_001093895.2__after_last_exon__uncertain	-676
Chr1L-420__XBXL10_1g3035__cox7c.L__XBmRNA5485__NM_001093895.2__after_last_exon	-251
Chr1L-137__XBXL10_1g3035__cox7c.L__XBmRNA5485__NM_001093895.2__last_exon	-82
Chr1L-2465__XBXL10_1g3044__atg10.L__XBmRNA5505__XM_018264785.2__last_exon	-624
Chr1L-186__XBXL10_1g3067__smn1.L__XBmRNA5546__NM_001088917.1__after_last_exon	-750
Chr1L-739__XBXL10_1g3088__enc1.L__XBmRNA5583__NM_001090813.1__after_last_exon	-2801
Chr1L-1094__XBXL10_1g3095__cert1.L__XBmRNA5600__NM_001091480.1__after_last_exon	-2745
Chr1L-14__XBXL10_1g601__slbp.L__XBmRNA661__NM_001088357.1__last_exon	-3209,-2014
Chr1L-897__XBXL10_1g3275__ttc23l.L__XBmRNA5931__XM_018266463.2__last_exon	-264
Chr1L-1347__XBXL10_1g760__rpl9.L__XBmRNA1043__XM_041564744.1__after_last_exon	-451
Chr1L-30__XBXL10_1g760__rpl9.L__XBmRNA1043__XM_041564744.1__last_exon	-50
Chr1L-2495__XBXL10_1g821__nmu.L__XBmRNA1193__XM_018229994.2__last_exon	-365
Chr1L-610__XBXL10_1g930__LOC108699095__XBmRNA1418__XM_018230964.2__after_last_exon__uncertain	-1864
Chr1L-843__XBXL10_1g930__LOC108699095__XBmRNA1418__XM_018230964.2__after_last_exon	-1593
Chr1L-1173__XBXL10_1g930__LOC108699095__XBmRNA1418__XM_018230964.2__after_last_exon	-1372
Chr1L-1494__XBXL10_1g1068__mgarp.L__XBmRNA1661__XM_041589888.1__last_exon	-2161
Chr1L-1775__XBXL10_1g1383__mfhas1.L__XBmRNA2345__XM_018253587.2__after_last_exon	-4996
Chr1S-1302__XBXL10_1g4863__pip5k1c.S__XBmRNA9100__NM_001089262.1__last_exon	-1276,-1192,-1143,-1058,-902,-757,-642
Chr1S-1642__XBXL10_1g4909__hnrnpk.S__XBmRNA9182__XM_018233820.2__after_last_exon__uncertain	-1881
Chr1S-808__XBXL10_1g4909__hnrnpk.S__XBmRNA9182__XM_018233820.2__after_last_exon__uncertain	-1581
Chr1S-1554__XBXL10_1g4909__hnrnpk.S__XBmRNA9182__XM_018233820.2__after_last_exon__uncertain	-1470
Chr1S-958__XBXL10_1g4909__hnrnpk.S__XBmRNA9182__XM_018233820.2__after_last_exon__uncertain	-1362
Chr1S-53__XBXL10_1g4909__hnrnpk.S__XBmRNA9182__XM_018233820.2__last_exon	-153
Chr1S-891__XBXL10_1g4934__cdc14b.S__XBmRNA9237__XM_041574565.1__after_last_exon	-7609
Chr1S-2192__XBXL10_1g4934__cdc14b.S__XBmRNA9237__XM_041574565.1__after_last_exon	-4803
Chr1S-1303__XBXL10_1g4959__cdc42se2l.S__XBmRNA9274__NM_001171726.1__after_last_exon	-2634,-360
Chr1S-1574__XBXL10_1g4959__cdc42se2l.S__XBmRNA9274__NM_001171726.1__other_exon	-1627
Chr1S-1440__XBXL10_1g4959__cdc42se2l.S__XBmRNA9274__NM_001171726.1__other_exon	-683
Chr1S-183__XBXL10_1g5139__ewsr1.L__XBmRNA9555__XM_018239729.2__after_last_exon	-6458
Chr1S-1330__XBXL10_1g5188__tpst2.S__XBmRNA9641__XM_018244046.2__after_last_exon	-1678
Chr1S-214__XBXL10_1g5188__tpst2.S__XBmRNA9641__XM_018244046.2__after_last_exon	-1422
Chr1S-543__XBXL10_1g5188__tpst2.S__XBmRNA9641__XM_018244046.2__last_exon	-1286
Chr1S-860__XBXL10_1g5188__tpst2.S__XBmRNA9641__XM_018244046.2__last_exon	-459
Chr1S-504__XBXL10_1g5303__txnrd2.S__XBmRNA9860__XM_041580310.1__last_exon	-569,-424
Chr1S-483__XBXL10_1g5307__arvcf.S__XBmRNA9871__XM_041580320.1__last_exon	-1658
Chr1S-964__XBXL10_1g5307__arvcf.S__XBmRNA9871__XM_041580320.1__last_exon	-1260
Chr1S-1443__XBXL10_1g5426__fbxo21.S__XBmRNA10130__XM_041580385.1__after_last_exon	-844
Chr1S-1851__XBXL10_1g5427__nos1.S__XBmRNA10132__XM_041580387.1__last_exon	-1832
Chr1S-772__XBXL10_1g5469__phax.S__XBmRNA10208__NM_001095016.1__last_exon	-504
Chr1S-206__XBXL10_1g5536__LOC108707228__XBmRNA10370__XM_041580461.1__last_exon	-1663
Chr1S-556__XBXL10_1g5536__LOC108707228__XBmRNA10370__XM_041580461.1__last_exon	-1186
Chr1S-1113__XBXL10_1g5536__LOC108707228__XBmRNA10370__XM_041580461.1__last_exon	-252
Chr1S-102__XBXL10_1g5558__cox7c.S__XBmRNA10423__NM_001171760.1__after_last_exon	-247
Chr1S-175__XBXL10_1g5558__cox7c.S__XBmRNA10423__NM_001171760.1__after_last_exon	-83
Chr1S-2142__XBXL10_1g5581__smn1.S__XBmRNA10462__XM_018244405.2__after_last_exon	-985
Chr1S-413__XBXL10_1g5581__smn1.S__XBmRNA10462__XM_018244405.2__last_exon	-638
Chr1S-1448__XBXL10_1g5581__smn1.S__XBmRNA10462__XM_018244405.2__last_exon	-237
Chr1S-340__XBXL10_1g5597__enc1.S__XBmRNA10490__XM_018244426.2__after_last_exon	-2868
Chr1S-1568__XBXL10_1g5597__enc1.S__XBmRNA10490__XM_018244426.2__last_exon	-659
Chr1S-809__XBXL10_1g5606__cert1.S__XBmRNA10512__XM_041580511.1__after_last_exon	-3208
Chr1S-600__XBXL10_1g5606__cert1.S__XBmRNA10512__XM_041580511.1__last_exon	-821
Chr1S-1555__XBXL10_1g5673__rgs7bp.S__XBmRNA10638__NM_001092181.1__intron__uncertain	-818
Chr1S-452__XBXL10_1g3746__rell1.S__XBmRNA6816__XM_018233107.2__after_last_exon__uncertain	-1633
Chr1S-159__XBXL10_1g3746__rell1.S__XBmRNA6816__XM_018233107.2__last_exon	-380
Chr1S-773__XBXL10_1g3755__LOC108706570__XBmRNA6833__XM_018243099.2__after_last_exon	-156
Chr1S-22__XBXL10_1g3755__LOC108706570__XBmRNA6833__XM_018243099.2__last_exon	-52
Chr1S-1739__XBXL10_1g3888__LOC108706634__XBmRNA7114__XM_018243220.2__last_exon	-1632
Chr1S-1176__XBXL10_1g4161__areg.S__XBmRNA7676__XM_018243449.2__last_exon	-165
Chr1S-6__XBXL10_1g4256__hnrnpdl.S__XBmRNA7862__NM_001091139.1__last_exon	-261
Chr1S-831__XBXL10_1g4331__paqr3.S__XBmRNA8025__XM_018235807.2__last_exon	-4255
Chr1S-611__XBXL10_1g4368__upf1.S__XBmRNA8123__NM_001092393.1__last_exon	-2044
Chr1S-211__XBXL10_1g4394__atp5f1d.S__XBmRNA8176__XM_018243604.2__last_exon	-68
Chr1S-2211__XBXL10_1g4396__stk11.S__XBmRNA8180__XM_018243606.2__after_last_exon__uncertain	-1073
Chr1S-396__XBXL10_1g4396__stk11.S__XBmRNA8180__XM_018243606.2__last_exon	-328
Chr1S-1208__XBXL10_1g4472__enc1.2.S__XBmRNA8310__NM_001092349.1__after_last_exon	-682
Chr1S-1536__XBXL10_1g4497__safb.S__XBmRNA8368__XM_018243677.2__after_last_exon	-430
Chr1S-260__XBXL10_1g4497__safb.S__XBmRNA8368__XM_018243677.2__last_exon	-341
Chr2L-1978__XBXL10_1g7559__LOC108708335__XBmRNA14204__XM_018246933.2__after_last_exon__uncertain	-1129
Chr2L-2021__XBXL10_1g7559__LOC108708335__XBmRNA14204__XM_018246933.2__after_last_exon__uncertain	-1024
Chr2L-936__XBXL10_1g7594__LOC108708350__XBmRNA14255__XM_041582269.1__last_exon	-628
Chr2L-2076__XBXL10_1g7594__LOC108708350__XBmRNA14255__XM_041582269.1__last_exon	-170
