gene_id	median_tl_by_palseq	tag_count
chr1-1233	31	18
chr1-326	24	113
chr1-714	16.5	44
chr1-107	47	278
chr1-501	48.5	72
chr1-152	44	224
chr1-364	61	103
chr1-1370	35	17
chr1-967	23	19
chr1-1492	69	13
chr1-889	53	31
chr1-175	49	205
chr1-113	59	267
chr1-1201	46.5	20
chr1-1493	29	13
chr1-1157	65	20
chr1-1494	56	12
chr1-345	57	106
chr1-1651	51.5	14
chr1-185	41	187
chr1-404	28	93
chr1-815	39	36
chr1-869	32.5	32
chr1-272	50	134
chr1-1652	50	11
chr1-1495	10	13
chr1-1564	21.5	16
chr1-1093	27	25
chr1-1234	28	18
chr1-980	28	27
chr1-1653	31	11
chr1-479	39	76
chr1-1371	43	15
chr1-1018	70	25
chr1-664	39.5	48
chr1-1322	40.5	16
chr1-553	41	62
chr1-44	23	558
chr1-998	18.5	26
chr1-917	37.5	30
chr1-870	28	33
chr1-127	25	249
chr1-250	39	148
chr1-537	30	65
chr1-292	35	125
chr1-1654	44	11
chr1-100	64	284
chr1-110	80.5	268
chr1-858	33	33
chr1-191	32	183
chr1-423	30.5	90
chr1-968	37	25
chr1-675	27	47
chr1-30	35	679
chr1-715	24	45
chr1-1750	85	10
chr1-828	26	35
chr1-1019	33	25
chr1-1067	16	23
chr1-724	32	43
chr1-321	32	114
chr1-1235	40.5	18
chr1-1281	30	17
chr1-850	42.5	34
chr1-725	28	43
chr1-1068	44	23
chr1-54	45	453
chr1-405	30	93
chr1-273	27	135
chr1-95	30	302
chr1-851	39	34
chr1-1124	47	18
chr1-1496	54	13
chr1-585	58	59
chr1-1202	65	19
chr1-105	31	286
chr1-1236	178	18
chr1-1036	40	24
chr1-572	38.5	60
chr1-1282	19	17
chr1-1237	53	18
chr1-676	30	47
chr1-665	22	48
chr1-285	37	128
chr1-947	27	29
chr1-1238	41	18
chr1-495	46	73
chr1-1751	28	11
chr1-1752	55.5	10
chr1-180	36	198
chr1-981	27.5	36
chr1-554	26.5	62
chr1-432	30	115
chr1-43	40	611
chr1-365	61	102
chr1-1094	31.5	22
chr1-829	64	37
chr1-1429	39.5	14
chr1-1203	43	19
chr1-79	39	337
chr1-1283	27	11
chr1-1497	39	13
chr1-982	35	27
chr1-1069	35	20
chr1-689	16	44
chr1-1095	48	15
chr1-999	55	26
chr1-235	19	158
chr1-440	27	85
chr1-690	133.5	46
chr1-246	35	161
chr1-1565	146.5	12
chr1-1863	31	13
chr1-111	35	268
chr1-1755	37.5	10
chr1-399	30	94
chr1-1125	55	21
chr1-149	26	229
chr1-1000	23	26
chr1-129	58	247
chr1-586	63	59
chr1-480	31	76
chr1-204	15	176
chr1-1372	52	15
chr1-1239	16.5	16
chr1-336	51	110
chr1-1373	50	15
chr1-753	36.5	40
chr1-210	195	173
chr1-1498	46	13
chr1-1158	23	14
chr1-1204	34	19
chr1-354	33.5	104
chr1-647	17	48
chr1-1037	14.5	24
chr1-1038	18	24
chr1-264	28	143
chr1-918	20	28
chr1-294	30	124
chr1-520	42.5	68
chr1-275	40	133
chr1-311	22	121
chr1-1284	39	17
chr1-231	31	161
chr1-769	30	39
chr1-1159	56	20
chr1-140	29	237
chr1-114	23	268
chr1-1566	41	12
chr1-604	32	57
chr1-666	21	48
chr1-969	30	28
chr1-703	54	45
chr1-1160	40	20
chr1-1374	78	15
chr1-871	51	32
chr1-1499	77	13
chr1-1323	56.5	16
chr1-726	64	43
chr1-155	49	223
chr1-161	64	213
chr1-1655	31	11
chr1-1161	18	20
chr1-1375	16	15
chr1-890	31	31
chr1-667	34	48
chr1-34	37	647
chr1-62	33	394
chr1-490	36	73
chr1-341	24	108
chr1-1240	29.5	18
chr1-1656	47	11
chr1-181	34	198
chr1-1020	207	25
chr1-153	36	223
chr1-162	37	213
chr1-1500	37	13
chr1-511	24.5	72
chr1-193	31	182
chr1-1430	26.5	14
chr1-295	28	124
chr1-587	183	59
chr1-637	28	51
chr1-130	42	247
chr1-96	42	300
chr1-1756	36	10
chr1-1657	38	11
chr1-630	24	52
chr1-1241	31	18
chr1-1242	36.5	18
chr1-1757	35	10
chr1-770	22	39
chr1-859	55	33
chr1-533	38.5	66
chr1-593	41.5	54
chr1-555	33	62
chr1-704	37	45
chr1-255	75	144
chr1-337	30.5	110
chr1-457	27	82
chr1-852	19.5	34
chr1-521	37	76
chr1-1568	30	12
chr1-1021	38	26
chr1-891	30	31
chr1-1567	72	11
chr1-892	42	23
chr1-1871	39	11
chr1-1658	20	11
chr1-184	34	196
chr1-1659	17	11
chr1-614	25.5	54
chr1-1758	25.5	10
chr1-360	38	103
chr1-1431	37	14
chr1-1759	27.5	10
chr1-771	37	39
chr1-1243	27	18
chr1-1244	36	18
chr1-648	32	50
chr1-1245	48	18
chr1-754	40.5	40
chr1-69	35	367
chr1-1569	16.5	12
chr1-1760	44.5	10
chr1-1039	32.5	24
chr1-1376	30	15
chr1-90	28	313
chr1-1432	10	14
chr1-1162	166.5	20
chr1-594	28.5	58
chr1-1096	31	22
chr1-502	29.5	72
chr1-522	35	68
chr1-11	35	1359
chr1-1377	58	15
chr1-610	79	55
chr1-1070	45	23
chr1-1163	9.5	20
chr1-893	52	31
chr1-1071	14	23
chr1-1072	61	24
chr1-1570	18.5	12
chr1-82	22	178
chr1-529	152	73
chr1-1571	63	12
chr1-9	50	1562
chr1-20	42	935
chr1-2	38	6817
chr1-496	32.5	74
chr1-1097	35	22
chr1-25	32	790
chr1-1022	118	25
chr1-1572	21	13
chr1-1378	30	15
chr1-1761	32.5	10
chr1-1073	59	23
chr1-1660	54	11
chr1-452	34.5	82
chr1-1762	27	10
chr1-1763	38.5	10
chr1-318	38	116
chr1-787	28	40
chr1-605	31	55
chr1-213	36	172
chr1-259	23	143
chr1-1573	24	13
chr1-471	37	79
chr1-772	30	33
chr1-1040	34.5	24
chr1-983	32	27
chr1-84	32	325
chr1-523	178	68
chr1-220	56	166
chr1-1433	41.5	14
chr1-379	57	99
chr1-221	49	166
chr1-948	46	29
chr1-894	60	31
chr1-1379	103	15
chr1-773	30	39
chr1-1164	25	20
chr1-1324	16	16
chr1-1764	24.5	10
chr1-573	38	60
chr1-1765	39.5	10
chr1-1380	76	15
chr1-1285	32	17
chr1-1205	35	19
chr1-1434	42.5	14
chr1-1574	41.5	12
chr1-1661	31	11
chr1-361	37	103
chr1-346	36	106
chr1-1246	41	18
chr1-1662	34	11
chr1-1502	58	13
chr1-1766	61.5	12
chr1-1663	34	11
chr1-1126	45	21
chr1-76	44	347
chr1-2440	40.5	10
chr1-677	37	47
chr1-606	30.5	56
chr1-543	68	64
chr1-1435	42.5	14
chr1-1074	30	23
chr1-895	20	31
chr1-190	143	185
chr1-1664	32	11
chr1-1325	28	16
chr1-362	43	103
chr1-22	44	879
chr1-1575	62.5	12
chr1-631	62	54
chr1-503	50	70
chr1-830	48	35
chr1-322	16	80
chr1-919	45	30
chr1-1436	33	14
chr1-774	33	39
chr1-831	59	35
chr1-1326	58	16
chr1-970	48	34
chr1-1327	42	16
chr1-1665	35	11
chr1-691	55	46
chr1-1666	58	11
chr1-984	47	27
chr1-312	32	118
chr1-1328	21	13
chr1-1329	60.5	16
chr1-413	91	128
chr1-282	37	129
chr1-136	25	240
chr1-474	35	77
chr1-1437	31	14
chr1-124	46	252
chr1-467	31.5	80
chr1-486	36	75
chr1-203	29	177
chr1-832	27	35
chr1-1767	41	11
chr1-1576	56	12
chr1-61	67	399
chr1-1667	55	11
chr1-436	34	86
chr1-716	56	44
chr1-692	46	46
chr1-132	49	246
chr1-414	29	90
chr1-514	47	69
chr1-949	26	35
chr1-1075	28	23
chr1-1768	49.5	10
chr1-427	67.5	90
chr1-1769	43.5	10
chr1-1668	50	11
chr1-804	30	37
chr1-985	27	27
chr1-48	37	511
chr1-59	22	422
chr1-168	42.5	208
chr1-27	49	736
chr1-1023	70	25
chr1-1001	27.5	26
chr1-678	83	47
chr1-16	24	1798
chr1-5	28	2206
chr1-556	34	63
chr1-987	0	28
chr1-169	29	211
chr1-1503	25	13
chr1-833	55	35
chr1-788	43	38
chr1-244	40	152
chr1-147	23	231
chr1-441	35	85
chr1-67	38	369
chr1-1330	19	16
chr1-198	30	180
chr1-10	38	1542
chr1-245	22	152
chr1-385	49	97
chr1-1382	55	17
chr1-775	46	39
chr1-744	34	41
chr1-1098	60.5	22
chr1-261	51	140
chr1-1771	60	10
chr1-538	0	67
chr1-310	38	119
chr1-530	35	67
chr1-512	43.5	70
chr1-595	39	58
chr1-971	28.5	28
chr1-1002	53.5	26
chr1-71	42	362
chr1-348	58	105
chr1-776	49	39
chr1-1206	39	19
chr1-97	21	300
chr1-727	40	43
chr1-755	61	40
chr1-267	41	136
chr1-615	33.5	54
chr1-1165	39.5	20
chr1-157	15	220
chr1-1207	41	19
chr1-370	26	87
chr1-88	42	313
chr1-1504	29	13
chr1-679	24	53
chr1-616	20	53
chr1-1772	10.5	10
chr1-617	57.5	54
chr1-1286	62	17
chr1-256	37	144
chr1-2453	26	11
chr1-789	48.5	38
chr1-380	56	99
chr1-1248	49	18
chr1-1041	28	24
chr1-1773	21	10
chr1-777	29	39
chr1-1249	44.5	18
chr1-121	37	253
chr1-41	22	598
chr1-437	42.5	86
chr1-756	45.5	40
chr1-655	60	49
chr1-424	56	89
chr1-433	32	87
chr1-125	29	250
chr1-442	22	84
chr1-790	43.5	42
chr1-400	55.5	94
chr1-1505	25	13
