transcript	ss_distance_to_3end
chr1-2297__ENST00000370112.8__ENSG00000162695.11__SLC30A7__SLC30A7-001__last_exon__in_PolyA_DB	-1277
chr1-2859__ENST00000370112.8__ENSG00000162695.11__SLC30A7__SLC30A7-001__last_exon	-2518
chr1-1601__ENST00000370112.8__ENSG00000162695.11__SLC30A7__SLC30A7-001__last_exon__in_PolyA_DB	-3481
chr1-2533__ENST00000370112.8__ENSG00000162695.11__SLC30A7__SLC30A7-001__last_exon	-4376
chr1-2103__ENST00000370112.8__ENSG00000162695.11__SLC30A7__SLC30A7-001__after_last_exon__in_PolyA_DB	-6539
chr1-929__ENST00000423855.6__ENSG00000185946.15__RNPC3__RNPC3-008__last_exon__in_PolyA_DB	-206
chr1-2299__ENST00000370017.7__ENSG00000143107.8__FNDC7__FNDC7-001__after_last_exon__in_PolyA_DB	-825
chr1-1050__ENST00000356970.6__ENSG00000121940.15__CLCC1__CLCC1-001__last_exon__in_PolyA_DB	-206
chr1-1240__ENST00000377004.8__ENSG00000175262.14__C1orf127__C1orf127-201__last_exon__in_PolyA_DB	-267
chr1-387__ENST00000369851.5__ENSG00000065135.9__GNAI3__GNAI3-001__last_exon__in_PolyA_DB	-432
chr1-482__ENST00000369851.5__ENSG00000065135.9__GNAI3__GNAI3-001__last_exon__in_PolyA_DB	-1165
chr1-2107__ENST00000369851.5__ENSG00000065135.9__GNAI3__GNAI3-001__last_exon__in_PolyA_DB	-1494
chr1-973__ENST00000369851.5__ENSG00000065135.9__GNAI3__GNAI3-001__last_exon__in_PolyA_DB	-2017
chr1-1108__ENST00000369851.5__ENSG00000065135.9__GNAI3__GNAI3-001__last_exon__in_PolyA_DB	-3216
chr1-253__ENST00000485775.5__ENSG00000143093.14__STRIP1__STRIP1-003__last_exon__in_PolyA_DB	-2662,-2593,-2486,-2358,-2175,-1957,-1891,-1827,-1755,-1680,-1582,-1455,-1354,-1287,-1182,-977
chr1-265__ENST00000369784.7__ENSG00000162775.14__RBM15__RBM15-001__last_exon__in_PolyA_DB	-370
chr1-1698__ENST00000369709.3__ENSG00000116473.14__RAP1A__RAP1A-001__last_exon__in_PolyA_DB	-527
chr1-601__ENST00000369709.3__ENSG00000116473.14__RAP1A__RAP1A-001__last_exon__in_PolyA_DB	-684
chr1-1457__ENST00000369709.3__ENSG00000116473.14__RAP1A__RAP1A-001__last_exon__in_PolyA_DB	-1758
chr1-2538__ENST00000369615.5__ENSG00000081026.18__MAGI3__MAGI3-003__last_exon__in_PolyA_DB	-3025
chr1-368__ENST00000369535.4__ENSG00000213281.4__NRAS__NRAS-001__last_exon__in_PolyA_DB	-3606,-3567
chr1-545__ENST00000539893.5__ENSG00000134258.16__VTCN1__VTCN1-203__last_exon__in_PolyA_DB	-1634
chr1-1700__ENST00000539893.5__ENSG00000134258.16__VTCN1__VTCN1-203__last_exon__in_PolyA_DB	-659
chr1-1018__ENST00000465727.5__ENSG00000078808.16__SDF4__SDF4-002__last_exon__in_PolyA_DB	-874
chr1-553__ENST00000450390.6__ENSG00000160087.20__UBE2J2__UBE2J2-002__last_exon__in_PolyA_DB	-2133,-1940,-1899,-1796,-1657,-1576
chr1-44__ENST00000450390.6__ENSG00000160087.20__UBE2J2__UBE2J2-002__last_exon__in_PolyA_DB	-1144,-951,-910,-807,-668,-587
chr1-537__ENST00000482621.5__ENSG00000221978.11__CCNL2__CCNL2-005__last_exon__in_PolyA_DB	-1823,-1758,-1633,-1533,-1428,-1286,-1174,-1081
chr1-292__ENST00000482621.5__ENSG00000221978.11__CCNL2__CCNL2-005__last_exon__in_PolyA_DB	-1620,-1555,-1430,-1330,-1225,-1083,-971,-878
chr1-2118__ENST00000488165.5__ENSG00000188092.14__GPR89B__GPR89B-003__last_exon	-1375,-1254,-1173,-1063,-974,-881,-785,-695,-629
chr1-1346__ENST00000439374.6__ENSG00000197622.12__CDC42SE1__CDC42SE1-001__last_exon__in_PolyA_DB	-2343
chr1-2317__ENST00000439374.6__ENSG00000197622.12__CDC42SE1__CDC42SE1-001__last_exon	-1536
chr1-200__ENST00000439374.6__ENSG00000197622.12__CDC42SE1__CDC42SE1-001__last_exon__in_PolyA_DB	-669
chr1-14__ENST00000326413.7__ENSG00000178796.12__RIIAD1__RIIAD1-001__last_exon__in_PolyA_DB	-119
chr1-1260__ENST00000326413.7__ENSG00000178796.12__RIIAD1__RIIAD1-001__after_last_exon	-323
chr1-559__ENST00000326413.7__ENSG00000178796.12__RIIAD1__RIIAD1-001__after_last_exon__uncertain	-900
chr1-1009__ENST00000326413.7__ENSG00000178796.12__RIIAD1__RIIAD1-001__after_last_exon__uncertain	-1394
chr1-709__ENST00000368822.5__ENSG00000182134.15__TDRKH__TDRKH-005__last_exon__in_PolyA_DB	-734
chr1-1431__ENST00000475133.5__ENSG00000116138.12__DNAJC16__DNAJC16-003__last_exon__in_PolyA_DB	-759,-588
chr1-2718__ENST00000475133.5__ENSG00000116138.12__DNAJC16__DNAJC16-003__last_exon__in_PolyA_DB	-3694,-3523
chr1-771__ENST00000475133.5__ENSG00000116138.12__DNAJC16__DNAJC16-003__last_exon__in_PolyA_DB	-4127,-3956
chr1-1245__ENST00000480945.5__ENSG00000197312.11__DDI2__DDI2-001__last_exon__in_PolyA_DB	-2194
chr1-2722__ENST00000480945.5__ENSG00000197312.11__DDI2__DDI2-001__last_exon	-4360
chr1-754__ENST00000480945.5__ENSG00000197312.11__DDI2__DDI2-001__last_exon__in_PolyA_DB	-9208
chr1-1067__ENST00000490017.1__ENSG00000189409.13__MMP23B__MMP23B-008__last_exon	-105
chr1-2131__ENST00000498166.5__ENSG00000120370.12__GORAB__GORAB-004__last_exon__in_PolyA_DB	-2033,-1675,-1573,-1432
chr1-54__ENST00000610897.4__ENSG00000078369.17__GNB1__GNB1-201__last_exon__in_PolyA_DB	-1768
chr1-405__ENST00000610897.4__ENSG00000078369.17__GNB1__GNB1-201__last_exon__in_PolyA_DB	-299
chr1-1073__ENST00000290597.9__ENSG00000159423.16__ALDH4A1__ALDH4A1-002__last_exon__in_PolyA_DB	-361
chr1-1624__ENST00000367443.5__ENSG00000116747.12__TROVE2__TROVE2-003__last_exon__in_PolyA_DB	-127
chr1-2605__ENST00000495527.5__ENSG00000058673.15__ZC3H11A__ZC3H11A-002__last_exon	-517,-449
chr1-2158__ENST00000495527.5__ENSG00000058673.15__ZC3H11A__ZC3H11A-002__last_exon__in_PolyA_DB	-1962,-1894
chr1-329__ENST00000367057.7__ENSG00000117322.16__CR2__CR2-003__last_exon__in_PolyA_DB	-751
chr1-1415__ENST00000469606.5__ENSG00000143493.12__INTS7__INTS7-002__last_exon__in_PolyA_DB	-3939,-3801,-3754,-3554,-3431,-3313,-3178,-3080,-2840,-2702,-2495,-2300,-2196,-2127,-1994,-1895,-1709
chr1-484__ENST00000469606.5__ENSG00000143493.12__INTS7__INTS7-002__last_exon__in_PolyA_DB	-2994,-2856,-2809,-2609,-2486,-2368,-2233,-2135,-1895,-1757,-1550,-1355,-1251,-1182,-1049,-950,-764
chr1-583__ENST00000469606.5__ENSG00000143493.12__INTS7__INTS7-002__last_exon__in_PolyA_DB	-2620,-2482,-2435,-2235,-2112,-1994,-1859,-1761,-1521,-1383,-1176,-981,-877,-808,-675,-576,-390
chr1-2437__ENST00000290101.8__ENSG00000076864.19__RAP1GAP__RAP1GAP-201__last_exon__in_PolyA_DB	-1191,-1087,-1044
chr1-1661__ENST00000400271.2__ENSG00000142789.19__CELA3A__CELA3A-004__after_last_exon	-93
